"Longitude","Latitude"
-93.988039,41.661356
-74.461621,42.673438
-93.790222,41.619892
-93.757387,41.92287
-83.110861,40.031219
-96.932695,40.932083
-88.56285,40.434251
-73.895241,40.889951
-88.932242,40.530944
-89.78056,40.831408
-88.858817,42.928915
-82.90173,42.832958
-87.983573,42.100118
-90.420463,41.500438
-91.081246,43.89913
-82.980961,40.80073
-88.251598,42.015543
-83.529098,40.059362
-89.331305,41.236865
-88.068977,44.443657
-88.522704,42.872266
-89.206195,43.362195
-82.78122,41.023292
-83.807752,39.482573
-93.238302,45.451788
-89.121091,42.451514
-88.705578,41.349288
-92.577128,44.70249
-88.410215,42.818696
-89.549488,41.183462
-89.203202,42.213842
-89.780006,42.254604
-88.328195,42.165404
-79.93132,40.906447
-90.618063,40.558219
-85.775032,40.421211
-89.109772,40.359628
-88.341381,43.15185
-90.713967,40.502013
-97.207217,37.189789
-89.577038,42.002835
-95.382967,44.764149
-91.867517,41.545538
-97.459772,43.451883
-90.826462,40.821446
-96.134436,41.279159
-81.332732,42.689285
-88.941587,41.54863
-75.399075,44.777412
-92.17428,44.118647
-75.3505,45.262873
-79.866017,43.246179
-73.700978,43.269919
-90.370178,40.943665
-96.228627,41.777092
-88.334179,43.804724
-97.01039,42.774117
-93.05402,44.080433
-89.307778,43.172303
-92.464278,42.501721
-89.228455,42.92804
-83.679542,39.958763
-93.460382,45.189428
-64.253795,45.729679
-63.195174,46.405541
-73.810474,45.632271
-69.84678,44.423591
-64.771415,45.469352
-70.524527,44.374241
-74.128631,45.397654
-95.484227,45.137762
-69.514811,44.840578
-69.634606,44.40065
-83.094397,40.728222
-96.79403,40.855362
-97.38813,40.288778
-91.196595,43.790317
-93.589797,42.149807
-94.797634,38.991955
-82.614403,41.179188
-73.814267,43.513926
-95.503958,41.549447
-86.24971,41.690262
-95.902752,45.588713
-97.117722,44.915
-95.575375,43.62564
-93.876057,42.04652
-90.118908,40.822384
-74.049043,45.714573
-96.808722,41.305378
-74.858833,45.035389
-96.158386,41.551279
-97.030809,49.912354
-75.460288,45.164206
-96.1033,41.4341
-76.758202,42.443508
-79.774874,43.13352
-73.146057,45.542315
-91.43567,41.643047
-91.554017,42.010575
-93.62265,41.841817
-93.039067,42.096878
-91.413304,41.750521
-72.150964,45.262545
-64.346917,45.502412
-96.754305,40.9978
-80.857858,43.054718
-90.569328,41.544945
-71.846175,41.950111
-95.315323,40.20245
-93.954726,41.53667
-76.529583,44.233592
-73.510477,45.680253
-91.685683,41.88755
-80.290557,43.298236
-72.036287,45.162767
-90.691129,41.521633
-93.575797,45.294962
-92.087613,41.434801
-73.754362,45.385563
-94.732568,43.661857
-72.494816,46.18008
-90.98886,41.410653
-91.491606,45.10363
-88.290583,43.921681
-98.547081,45.646973
-100.999979,46.92209
-81.853963,42.284863
-88.541617,43.483806
